"time","der(Tj)","Tj"
0.866,31.607629450018,68.86327065653396
0.868,31.54352283299262,68.92642219362094
0.87,31.47954627498554,68.98944560934856
0.872,31.4156995147029,69.05234116111784
0.874,31.35198229146621,69.11510910572359
0.876,31.28839407658215,69.17774996398252
0.878,31.22493460422436,69.24026399776061
0.88,31.16160383695375,69.30265124393917
0.882,31.09840151418642,69.36491195921984
0.884,31.0353273759115,69.42704639973979
0.886,30.97238116269094,69.48905482107186
0.888,30.90956261565964,69.5509374782245
0.89,30.84687147652538,69.61269462564182
0.892,30.78430748756893,69.67432651720348
0.894,30.72187039164392,69.7358334062248
0.896,30.65955993217682,69.79721554545679
0.898,30.59737585316716,69.85847318708595
0.9,30.53531789918728,69.9196065827345
0.902,30.47338581538249,69.98061598346024
0.904,30.41157934747093,70.04150163975665
0.906,30.34989824174375,70.10226380155272
0.908,30.28834224506499,70.16290271821318
0.91,30.22691110487156,70.22341863853831
0.912,30.16560456917329,70.28381181076405
0.914,30.10442238655294,70.34408248256197
0.916,30.04336430616623,70.4042309010392
0.918,29.9824300777417,70.46425731273855
0.92,29.92161945158085,70.52416196363846
0.922,29.86093217855807,70.58394509915298
0.924,29.80036801012074,70.64360696413173
0.926,29.73992669828906,70.70314780286002
0.928,29.67960799565618,70.76256785905876
0.93,29.61941165538816,70.82186737588448
0.932,29.55933743122401,70.88104659592931
0.934,29.49938507747556,70.94010576122106
0.936,29.43955434902761,70.99904511322315
0.938,29.37984500133794,71.05786489283453
0.94,29.3202567904371,71.11656534038991
0.942,29.26078947292869,71.17514669565952
0.944,29.20144280598908,71.23360919784929
0.946,29.14221654736772,71.29195308560068
0.948,29.08311016407798,71.35017888395971
0.95,29.02412347468677,71.40828677165644
0.952,28.96525641891465,71.46627680807222
0.954,28.90650875453898,71.52414923182101
0.956,28.84788023986956,71.58190428099222
0.958,28.78937063374876,71.63954219315065
0.96,28.7309796955514,71.69706320533655
0.962,28.67270718518478,71.75446755406568
0.964,28.61455286308867,71.81175547532921
0.966,28.5565164902354,71.86892720459369
0.968,28.49859782812974,71.92598297680121
0.97,28.4407966388089,71.98292302636928
0.972,28.38311268484271,72.03974758719079
0.974,28.32554572933335,72.09645689263417
0.976,28.26809553591561,72.1530511755432
0.978,28.21076186875663,72.20953066823721
0.98,28.15354449255618,72.26589560251088
0.982,28.09644317254645,72.32214620963437
0.984,28.0394576744921,72.3782827203533
0.986,27.98258776469031,72.43430536488871
0.988,27.92583320997076,72.4902143729371
0.99,27.86919377769561,72.54600997367039
0.992,27.81266923575943,72.60169239573602
0.994,27.75625935258945,72.65726186725675
0.996,27.69996389714524,72.71271861583087
0.998,27.64378263891888,72.76806286853213
1,27.587715347935,72.82329485190965
1,27.587715347935,72.82329485190965
